Employee Name,Employee ID,Gender,Age,Tenure,Role,Department,Starting Salary,Current Salary,Location,Contract,Years of Experience,Average Monthly Working Hours,Months in Role,Promotion History,Last Performance Review Score,Start Date,End Date,Turnover
Mason Howell,8651,Male,40,5.3,Marketing Manager,Marketing,82912,114735,Office-Based,Full-time,19,142,14,3,4,2019-10-04,,0
Daniel Snow,1887,Male,61,8.4,Marketing Manager,Marketing,98299,120023,Office-Based,Full-time,34,180,37,1,5,2016-09-06,,0
Robin Jennings DDS,2612,Female,23,2.2,Marketing Specialist,Marketing,95236,127454,Office-Based,Full-time,4,149,17,1,3,2022-11-25,,0
Jonathan May,1993,Female,42,7.4,Marketing Manager,Marketing,53853,80537,Office-Based,Full-time,10,167,18,2,5,2016-06-05,2023-11-15,1
Drew Hodges,7596,Male,26,7.5,Director,IT,95790,130149,Office-Based,Full-time,8,144,37,2,5,2017-08-10,,0
Shane Butler,6559,Male,25,0.9,Engineering Manager,IT,53048,71003,Office-Based,Full-time,1,170,7,1,5,2018-12-07,2019-10-24,1
Joshua Miller,2790,Male,65,9.8,Marketing Manager,Marketing,51638,82740,Office-Based,Full-time,41,140,4,5,5,2014-12-16,2024-09-24,1
Briana French,5073,Female,27,0.9,Director,IT,77503,91548,Office-Based,Full-time,1,146,10,0,2,2023-12-05,2024-10-16,1
Jerome Torres,4139,Female,54,5.7,Engineering Manager,IT,51350,90746,Office-Based,Full-time,21,197,37,2,5,2016-10-24,2022-07-12,1
Michael Walker,4116,Female,63,1.5,Marketing Specialist,Marketing,54300,84885,Office-Based,Full-time,24,199,3,1,4,2012-03-10,2013-08-22,1
Keith Matthews,9786,Male,22,3.1,Engineering Manager,IT,47084,78655,Remote,Part-time,4,161,6,3,5,2021-12-20,,0
Samantha Shaw,8350,Female,63,14.0,Sales Manager,Sales,73901,89649,Office-Based,Full-time,24,196,37,2,4,2011-01-19,,0
Ashley Ryan,3296,Female,65,0.2,Marketing Specialist,Marketing,57001,84432,Office-Based,Full-time,42,194,1,1,5,2024-06-07,2024-08-23,1
Nicole Flores,4006,Male,43,7.0,Engineering Manager,IT,63494,96741,Office-Based,Full-time,25,191,23,4,4,2018-01-29,,0
Todd Bell,5563,Male,52,1.2,Engineering Manager,IT,45852,60417,Office-Based,Full-time,13,159,9,1,4,2013-11-01,2015-01-13,1
Emily Harrington,8579,Female,45,4.8,Marketing Manager,Marketing,43517,85092,Office-Based,Part-time,19,129,37,1,4,2013-02-13,2017-11-22,1
Kelly Wong,5092,Male,54,1.5,Marketing Manager,Marketing,43543,53424,Remote,Full-time,35,172,9,1,5,2023-07-07,2025-01-09,1
Emily Rose,2235,Female,31,8.9,Marketing Manager,Marketing,61799,103154,Office-Based,Full-time,10,127,37,1,3,2016-03-03,,0
Angela Osborn,8260,Female,35,5.7,Marketing Manager,Marketing,91459,97228,Remote,Full-time,15,174,16,2,4,2019-05-29,,0
Benjamin Figueroa,2604,Female,46,0.7,Account Executive,Sales,98458,119574,Office-Based,Full-time,7,122,4,1,5,2023-08-03,2024-03-28,1
Jamie Ortega,1828,Male,36,13.8,Account Executive,Sales,65136,98122,Office-Based,Full-time,16,125,37,2,4,2011-03-23,,0
Shawna Bean,9856,Female,51,6.2,Engineering Manager,IT,48768,71229,Office-Based,Full-time,17,144,37,4,3,2018-11-12,,0
Christopher Simmons,1241,Female,23,1.8,Software Engineer,IT,73071,84145,Remote,Full-time,3,124,21,0,2,2020-03-14,2021-12-23,1
Sarah Sims,2528,Female,56,14.1,Engineering Manager,IT,94795,96088,Remote,Full-time,16,176,37,1,4,2011-01-01,,0
David Khan,4872,Female,52,7.0,Marketing Specialist,Marketing,67582,110944,Remote,Full-time,30,199,36,1,5,2018-02-03,,0
Jonathan Lowery,3724,Male,48,3.4,Account Executive,Sales,58527,65998,Office-Based,Full-time,20,197,2,5,4,2021-09-12,,0
Summer Riddle,7658,Female,55,8.9,Marketing Specialist,Marketing,50510,53092,Office-Based,Part-time,31,181,9,4,4,2016-02-28,,0
Susan Kelly,8956,Male,22,1.3,Sales Manager,Sales,45903,79438,Remote,Full-time,2,152,13,1,5,2023-10-14,,0
Dr. Todd Bryan,8886,Female,40,5.1,Director,IT,42585,61627,Office-Based,Full-time,9,174,37,2,5,2014-10-07,2019-11-13,1
Bill Lane,4502,Male,24,0.8,Marketing Specialist,Marketing,63430,92116,Office-Based,Full-time,6,131,9,0,2,2024-03-03,2024-12-19,1
David Salinas,7570,Female,33,0.7,Director,IT,65278,110491,Office-Based,Full-time,8,141,1,1,3,2022-12-26,2023-09-25,1
Denise Floyd,1960,Male,32,9.7,Director,IT,77286,121745,Office-Based,Full-time,14,165,14,4,5,2014-05-18,2024-02-11,1
John Griffin,3697,Male,52,12.8,Account Executive,Sales,44150,61295,Office-Based,Full-time,26,187,16,4,5,2012-03-25,,0
Lisa Williams,7209,Male,64,5.7,Account Executive,Sales,68367,111733,Office-Based,Full-time,39,169,11,5,3,2019-05-08,,0
Katrina Williams,1035,Male,22,0.8,Director,IT,50839,55745,Office-Based,Full-time,4,162,1,1,5,2024-03-26,,0
Jessica Burch,7396,Male,54,4.5,Director,IT,55400,60566,Office-Based,Full-time,29,177,13,4,3,2015-11-22,2020-06-02,1
James Simmons,5345,Female,50,2.0,Account Executive,Sales,66439,93462,Remote,Full-time,26,131,24,0,4,2023-01-22,,0
Haley Hoffman,8454,Female,54,6.1,Director,IT,43556,58165,Office-Based,Full-time,17,199,2,3,5,2018-12-18,,0
Paul Williams,5673,Female,50,0.9,Marketing Specialist,Marketing,63274,104801,Office-Based,Full-time,15,186,11,0,2,2011-07-18,2012-06-20,1
Elijah Morgan,7930,Male,24,4.9,Account Executive,Sales,56665,96697,Remote,Full-time,5,170,8,4,4,2020-02-18,,0
Kelly Smith,8973,Male,43,7.0,Account Executive,Sales,90603,120127,Office-Based,Full-time,9,184,10,5,3,2016-08-21,2023-08-15,1
Jack Perez,3536,Female,22,3.2,Marketing Manager,Marketing,73314,84927,Office-Based,Full-time,4,136,1,5,3,2021-11-16,,0
James Hall,4111,Female,54,1.0,Marketing Manager,Marketing,62469,81747,Office-Based,Full-time,17,172,8,1,5,2024-01-17,,0
Craig Baker,5861,Female,57,14.9,Sales Manager,Sales,53743,94648,Office-Based,Full-time,35,136,37,2,5,2010-02-26,,0
Richard Byrd,4566,Male,54,13.1,Director,IT,63084,99933,Office-Based,Full-time,36,173,10,1,5,2011-12-14,,0
Philip Andersen,1958,Female,49,14.4,Marketing Manager,Marketing,49524,53001,Office-Based,Full-time,18,140,37,1,5,2010-08-21,,0
Nathan Robinson,9883,Female,31,8.3,Director,IT,75466,77583,Office-Based,Full-time,11,198,37,2,5,2016-10-11,,0
Matthew Thompson,1998,Male,63,9.7,Engineering Manager,IT,83548,86626,Office-Based,Full-time,42,160,33,3,5,2015-05-18,,0
Susan Walker,6138,Male,22,2.3,Engineering Manager,IT,86178,132678,Office-Based,Full-time,4,189,27,0,4,2022-10-10,,0
Ashley Ross,1936,Male,34,0.7,Sales Manager,Sales,88174,121849,Remote,Full-time,3,155,8,0,3,2024-05-04,2025-01-18,1
Brenda Acosta,1821,Male,32,8.6,Marketing Manager,Marketing,86510,96655,Remote,Part-time,9,196,19,3,3,2016-05-31,,0
Gregory Boyd,8811,Female,53,1.5,Director,IT,86378,107209,Office-Based,Part-time,24,186,18,0,1,2023-07-22,,0
Jeffrey Johnson,9238,Male,48,6.4,Sales Manager,Sales,97894,111876,Office-Based,Full-time,9,157,14,3,4,2018-08-18,,0
Michael Brewer,9701,Female,57,10.9,Marketing Manager,Marketing,55751,97842,Office-Based,Full-time,14,125,29,3,5,2014-03-15,,0
David Hawkins,3579,Female,46,14.7,Software Engineer,IT,87446,105981,Remote,Full-time,21,167,9,3,5,2010-05-22,,0
Katie Rich,1931,Female,53,0.3,Software Engineer,IT,45396,51684,Remote,Part-time,13,188,2,1,5,2022-03-31,2022-07-25,1
Brian Howell,9320,Male,35,8.8,Director,IT,46810,60282,Office-Based,Full-time,12,175,15,4,5,2016-03-19,,0
William James,2312,Male,65,12.0,Account Executive,Sales,44800,48356,Remote,Full-time,34,129,36,1,5,2011-07-25,2023-08-06,1
Jennifer Trevino,4044,Male,38,4.3,Marketing Specialist,Marketing,41106,66632,Office-Based,Full-time,17,199,1,4,3,2020-10-16,,0
Rebecca Anderson,2122,Male,26,2.6,Software Engineer,IT,45669,64118,Office-Based,Full-time,5,170,24,1,5,2022-06-01,,0
Kelly Garcia,2113,Male,52,10.6,Director,IT,92263,128027,Remote,Full-time,15,158,12,4,5,2013-10-06,2024-05-11,1
Gregory Johnson,4853,Female,22,2.6,Account Executive,Sales,40329,77862,Office-Based,Full-time,3,130,31,0,2,2022-07-03,,0
Miguel Peterson,7615,Female,35,1.8,Sales Manager,Sales,54469,94897,Office-Based,Full-time,6,143,21,0,3,2023-04-19,,0
Duane Adams,2964,Male,57,7.3,Engineering Manager,IT,44414,60843,Remote,Full-time,12,182,18,3,5,2017-09-23,,0
Barbara Mitchell,5033,Female,30,8.1,Software Engineer,IT,44574,57255,Office-Based,Full-time,9,198,29,3,5,2016-12-19,,0
Rebecca Smith,1651,Male,58,5.2,Sales Manager,Sales,40316,60842,Remote,Full-time,26,175,13,4,4,2019-10-28,,0
Lisa Moore,2343,Female,30,6.2,Marketing Manager,Marketing,63510,83529,Office-Based,Full-time,10,197,13,4,3,2018-11-25,,0
Elizabeth Bennett,7868,Female,30,10.5,Engineering Manager,IT,44941,46161,Office-Based,Full-time,12,194,37,1,5,2014-07-09,,0
Veronica Franco,9565,Male,24,3.4,Engineering Manager,IT,90803,100543,Office-Based,Full-time,6,195,20,4,5,2021-08-27,,0
Marco Long,6183,Female,30,11.0,Marketing Specialist,Marketing,72910,73604,Office-Based,Full-time,12,198,37,4,5,2014-01-12,,0
Jennifer Cole,5272,Male,50,0.2,Account Executive,Sales,54340,104243,Office-Based,Full-time,31,167,1,1,4,2015-12-20,2016-03-13,1
Brandi Jimenez,4346,Male,55,2.4,Marketing Manager,Marketing,97773,100816,Remote,Full-time,27,133,8,1,5,2022-08-19,,0
Laura Fisher,6147,Female,38,6.0,Marketing Specialist,Marketing,78514,121331,Office-Based,Full-time,13,152,15,4,4,2019-01-31,,0
Leah Cobb,4910,Male,55,2.8,Software Engineer,IT,40432,73320,Office-Based,Full-time,34,149,29,1,3,2022-04-20,,0
Angela Sanders,5351,Female,35,0.4,Engineering Manager,IT,55095,82267,Office-Based,Full-time,12,181,4,0,3,2021-07-24,2021-12-05,1
Laura Rodriguez,7484,Female,35,6.5,Account Executive,Sales,48381,85965,Office-Based,Full-time,7,185,22,2,3,2018-08-01,,0
Ashley Simpson,3144,Male,25,0.8,Software Engineer,IT,76936,118723,Remote,Full-time,5,156,1,1,5,2024-02-09,2024-11-16,1
Kelly Kent,5915,Male,50,6.1,Sales Manager,Sales,94418,121338,Office-Based,Full-time,22,143,37,2,5,2018-12-09,,0
Jason Brown,8491,Female,32,8.1,Software Engineer,IT,44511,59572,Office-Based,Full-time,12,122,1,5,4,2016-12-15,,0
Rachel Escobar,6180,Female,31,8.8,Software Engineer,IT,42558,77385,Office-Based,Full-time,12,181,3,5,5,2016-04-03,,0
Kyle Rodgers,2188,Male,65,2.1,Director,IT,42846,88566,Office-Based,Full-time,29,181,12,1,5,2022-12-08,,0
Stephen Garcia,1152,Female,44,6.0,Marketing Specialist,Marketing,71269,86506,Office-Based,Full-time,20,196,32,2,5,2019-01-29,,0
Arthur Campbell,8508,Female,38,1.0,Software Engineer,IT,40471,65048,Office-Based,Full-time,2,160,12,0,3,2013-08-25,2014-08-30,1
Rachel Matthews,2638,Male,31,6.7,Director,IT,75134,102892,Office-Based,Full-time,9,170,37,3,5,2018-05-02,,0
Charles Richard,2200,Female,57,7.2,Software Engineer,IT,76366,108069,Remote,Full-time,19,164,14,3,5,2017-10-26,,0
Kelsey Pena,9808,Female,30,9.0,Marketing Manager,Marketing,91321,137151,Office-Based,Full-time,10,185,37,2,4,2016-02-08,,0
Jennifer Strong,4492,Female,57,14.8,Sales Manager,Sales,65500,107172,Remote,Full-time,37,138,37,1,4,2010-04-15,,0
Samantha Matthews,9288,Female,27,3.5,Software Engineer,IT,42474,89954,Office-Based,Part-time,6,198,37,1,5,2017-05-05,2020-11-21,1
Cassie Kemp,3170,Female,60,0.2,Marketing Manager,Marketing,40701,53920,Office-Based,Part-time,41,186,1,1,4,2024-11-09,2025-01-12,1
Carolyn Andrews,6718,Male,60,3.3,Marketing Specialist,Marketing,55679,98606,Remote,Full-time,14,155,31,1,5,2021-09-24,,0
Michelle Cooper,2127,Female,64,6.5,Account Executive,Sales,88295,134407,Remote,Full-time,19,156,35,5,5,2018-08-09,,0
Christina Johnson,5002,Female,44,11.2,Sales Manager,Sales,69803,96276,Office-Based,Full-time,15,172,2,5,5,2013-11-01,,0
Timothy Wood,7054,Male,54,12.3,Software Engineer,IT,93290,130966,Remote,Full-time,29,168,37,3,5,2011-03-03,2023-07-04,1
Melanie Rodriguez,5669,Male,43,4.2,Director,IT,41792,73378,Remote,Full-time,19,148,13,5,5,2020-11-21,,0
Brenda Bradshaw,3584,Male,42,7.1,Account Executive,Sales,85928,103186,Remote,Full-time,24,163,18,5,3,2017-12-27,,0
Ms. Pamela Hardin,8179,Male,52,10.5,Sales Manager,Sales,88900,133668,Office-Based,Full-time,29,145,37,3,4,2014-07-10,,0
Seth Bryant,9900,Male,38,0.7,Sales Manager,Sales,91048,98039,Remote,Full-time,8,183,5,1,5,2017-02-11,2017-10-30,1
Noah Mccoy,5956,Male,52,11.3,Director,IT,58004,90169,Remote,Full-time,27,185,15,5,4,2013-10-16,,0
Amy Estrada,9666,Male,58,4.8,Software Engineer,IT,42134,75064,Office-Based,Full-time,32,142,2,4,4,2011-03-03,2015-12-09,1
Brian Jackson,1128,Male,55,3.1,Marketing Manager,Marketing,78076,84678,Office-Based,Full-time,4,153,3,2,4,2021-12-18,,0
Melissa Olson,5905,Female,37,2.7,Marketing Manager,Marketing,67783,81580,Office-Based,Full-time,14,166,33,0,4,2018-07-22,2021-04-16,1
Timothy Avila,2697,Female,50,2.1,Director,IT,46545,93784,Remote,Full-time,21,175,25,0,4,2021-10-28,2023-11-26,1
Michael Watson,3200,Male,31,4.8,Director,IT,40638,52212,Office-Based,Full-time,7,200,4,4,5,2020-04-02,,0
Terri Foster,2891,Female,53,4.5,Account Executive,Sales,66109,72595,Office-Based,Full-time,32,152,8,5,4,2020-07-30,,0
Rhonda Mills,2753,Male,50,6.7,Software Engineer,IT,76535,93424,Office-Based,Full-time,18,164,10,3,5,2018-05-15,,0
Teresa Clark,3546,Male,58,6.3,Marketing Specialist,Marketing,61305,105423,Office-Based,Full-time,18,177,12,3,5,2018-10-18,,0
Jessica Williams,5462,Female,61,0.8,Marketing Manager,Marketing,81371,121499,Office-Based,Full-time,11,129,7,1,3,2023-05-30,2024-03-13,1
Michelle Wilson,5616,Female,36,6.8,Software Engineer,IT,82247,108163,Remote,Full-time,18,166,26,3,5,2018-04-07,,0
Christopher Singleton,4450,Female,48,0.2,Engineering Manager,IT,56491,105241,Office-Based,Full-time,5,141,2,0,2,2024-08-28,2024-11-11,1
Anthony Tran,6617,Male,26,5.2,Account Executive,Sales,90523,116541,Office-Based,Part-time,8,133,37,1,4,2019-11-22,,0
Christopher Calhoun,4335,Male,27,5.4,Sales Manager,Sales,88338,106961,Office-Based,Full-time,8,187,24,2,5,2019-08-16,,0
John Carrillo,5325,Male,24,3.7,Director,IT,75427,93279,Office-Based,Full-time,5,189,9,4,4,2021-05-11,,0
Tonya Robertson,9280,Female,62,2.5,Software Engineer,IT,81929,123841,Office-Based,Part-time,39,181,28,1,5,2022-07-29,,0
Robin Stanley,9004,Male,50,0.7,Marketing Specialist,Marketing,40691,40697,Office-Based,Full-time,17,137,9,0,2,2024-04-28,,0
Crystal Edwards,5114,Female,56,0.1,Account Executive,Sales,90192,118401,Office-Based,Full-time,31,120,1,1,5,2024-11-30,2025-01-19,1
Carrie Wallace,1832,Male,48,13.7,Sales Manager,Sales,86854,135161,Office-Based,Full-time,26,148,37,2,4,2011-05-03,,0
Shelby Wright,2512,Female,62,8.5,Engineering Manager,IT,88688,123549,Office-Based,Full-time,26,128,11,3,4,2014-06-25,2022-12-16,1
Chris Baldwin,5533,Female,29,8.4,Engineering Manager,IT,80812,113055,Remote,Full-time,10,126,8,3,5,2016-08-17,,0
Alex Robertson,1722,Male,33,0.8,Engineering Manager,IT,68732,116383,Remote,Full-time,5,121,9,0,3,2024-04-14,,0
Jacob Thomas,1058,Female,48,8.4,Engineering Manager,IT,91866,93945,Office-Based,Full-time,20,138,1,4,3,2016-08-19,,0
Samantha Foster MD,6464,Female,26,5.0,Director,IT,65007,65833,Remote,Full-time,6,151,37,3,4,2020-01-11,,0
Jason Norris,3143,Female,37,0.9,Engineering Manager,IT,90527,96684,Office-Based,Part-time,7,180,8,1,4,2024-02-29,,0
Thomas Sanchez,5291,Female,42,1.4,Marketing Specialist,Marketing,71537,113383,Remote,Full-time,19,126,16,0,4,2017-07-08,2018-11-19,1
Angela Munoz,3647,Male,29,0.1,Sales Manager,Sales,92061,110155,Office-Based,Full-time,6,151,1,0,1,2021-01-25,2021-03-10,1
Patrick Hughes,8239,Male,59,6.0,Director,IT,45864,62164,Remote,Full-time,16,199,24,3,4,2019-01-25,,0
Erika Smith,8007,Male,25,2.7,Sales Manager,Sales,71971,87219,Office-Based,Full-time,7,164,33,0,4,2022-05-02,,0
Anna Jones,1158,Female,34,13.4,Marketing Specialist,Marketing,98894,101481,Office-Based,Full-time,15,157,37,2,5,2011-06-18,2024-11-19,1
Karen Stone,2232,Female,34,7.9,Engineering Manager,IT,70696,88739,Office-Based,Full-time,13,190,5,3,3,2017-03-09,,0
Jim Austin,3442,Male,50,0.1,Account Executive,Sales,90850,132663,Office-Based,Full-time,24,122,1,1,5,2024-09-19,2024-10-22,1
Francisco Frazier,9938,Female,61,0.1,Sales Manager,Sales,74345,119120,Office-Based,Full-time,43,198,1,1,4,2020-06-28,2020-08-10,1
Jeremy Evans,1590,Female,63,4.6,Account Executive,Sales,94735,103239,Remote,Full-time,38,133,37,1,4,2020-06-28,,0
Gary Johnson,7049,Male,24,1.1,Account Executive,Sales,64009,78474,Office-Based,Full-time,5,146,6,1,5,2023-12-12,,0
Mary Walker,3426,Male,51,12.4,Engineering Manager,IT,98355,125614,Office-Based,Full-time,24,127,37,5,5,2012-08-30,,0
Sean Smith,8041,Female,55,2.5,Sales Manager,Sales,74044,80408,Remote,Full-time,22,169,30,0,1,2016-12-07,2019-06-01,1
Tracie Fields,3088,Male,58,1.7,Engineering Manager,IT,46914,88766,Office-Based,Full-time,37,174,11,1,5,2023-05-04,,0
Michelle Benson,1685,Male,33,9.4,Software Engineer,IT,79316,108349,Office-Based,Part-time,12,190,18,2,5,2015-08-27,,0
Miranda King,6050,Female,45,5.0,Software Engineer,IT,55775,92681,Office-Based,Full-time,19,190,8,3,5,2020-02-10,,0
Danielle Ford,6974,Female,45,14.3,Engineering Manager,IT,42271,60914,Office-Based,Full-time,21,158,36,1,3,2010-09-24,,0
Tiffany Roach,1653,Male,35,14.8,Software Engineer,IT,73506,109965,Office-Based,Full-time,17,132,37,3,3,2010-04-01,,0
Stacy Chung,6862,Female,31,1.3,Sales Manager,Sales,56793,76473,Remote,Full-time,11,147,15,0,4,2020-02-09,2021-05-31,1
Larry Casey,4441,Female,52,0.6,Account Executive,Sales,87893,125660,Office-Based,Full-time,7,162,2,1,4,2017-06-06,2018-01-01,1
Bradley Phillips,5088,Female,48,9.7,Account Executive,Sales,81542,122973,Office-Based,Full-time,17,125,35,5,4,2015-04-30,,0
Amanda Davis,2684,Male,42,3.4,Engineering Manager,IT,87944,113691,Office-Based,Full-time,8,193,30,1,5,2021-08-22,,0
Thomas Mccoy,6794,Male,49,0.8,Marketing Specialist,Marketing,45409,76594,Office-Based,Full-time,5,171,10,0,2,2024-03-15,2025-01-14,1
Jesus Howard,3532,Female,54,3.3,Software Engineer,IT,52983,84955,Office-Based,Full-time,12,191,3,4,5,2021-09-26,,0
Michelle Green,4878,Male,37,6.9,Account Executive,Sales,47374,91397,Office-Based,Full-time,12,144,1,5,4,2017-08-08,2024-06-27,1
William Hoffman,3662,Male,41,9.3,Software Engineer,IT,49556,78422,Remote,Full-time,19,145,37,4,5,2013-12-25,2023-05-02,1
Tammy Woods,3900,Male,27,3.4,Sales Manager,Sales,96934,115787,Remote,Full-time,5,134,1,5,4,2016-06-14,2019-11-25,1
Erica Salazar,7755,Female,23,4.2,Software Engineer,IT,74292,123467,Remote,Full-time,5,138,27,2,5,2020-11-15,,0
Donald Mcdonald,1406,Male,46,8.0,Marketing Specialist,Marketing,51162,55101,Remote,Full-time,25,199,37,1,4,2017-01-27,,0
Vanessa Warner,3938,Female,63,10.2,Engineering Manager,IT,95842,139102,Office-Based,Full-time,35,157,37,3,5,2014-11-09,,0
Robert Davenport,6442,Female,36,4.8,Marketing Specialist,Marketing,71762,110893,Office-Based,Full-time,16,184,32,1,5,2020-04-04,,0
Joshua Thompson,7745,Male,24,2.9,Marketing Manager,Marketing,65781,114565,Remote,Full-time,5,165,34,1,4,2020-03-12,2023-02-09,1
Leah Moreno,5065,Female,37,14.5,Engineering Manager,IT,56887,82260,Office-Based,Full-time,17,123,37,1,5,2010-07-28,,0
Theresa Whitehead,3608,Female,36,5.6,Account Executive,Sales,87834,112882,Office-Based,Full-time,16,200,2,2,5,2010-08-07,2016-03-30,1
Stephanie Hall,2771,Female,37,3.8,Marketing Specialist,Marketing,69436,104971,Remote,Full-time,13,194,6,5,5,2021-03-24,,0
Andrea Bass,7267,Male,30,10.1,Director,IT,49512,92518,Office-Based,Part-time,11,160,29,4,3,2015-01-04,,0
Brent Porter,1634,Male,33,2.1,Director,IT,60885,88019,Office-Based,Full-time,14,155,25,0,1,2022-12-10,,0
Scott Lane,8711,Male,28,0.1,Software Engineer,IT,77161,117292,Remote,Full-time,10,123,1,1,4,2024-12-18,2025-01-17,1
Rebecca Phillips,4644,Female,30,11.2,Director,IT,65392,97599,Office-Based,Full-time,12,148,37,2,3,2013-11-06,,0
Elizabeth Haney,4269,Male,39,7.2,Director,IT,53406,57740,Remote,Part-time,19,176,12,2,5,2017-11-23,,0
Janet Harrington,8541,Female,42,10.7,Director,IT,42741,82582,Office-Based,Full-time,17,160,1,4,4,2014-05-13,,0
Dr. Barbara Erickson,6728,Male,55,1.5,Software Engineer,IT,75249,101175,Office-Based,Full-time,4,169,17,0,3,2023-05-01,2024-10-18,1
April Davidson,6000,Male,34,0.3,Marketing Manager,Marketing,50910,78596,Remote,Part-time,10,186,2,1,5,2019-08-25,2019-12-19,1
Brandon Delgado,4728,Female,63,10.9,Director,IT,78367,123987,Office-Based,Full-time,18,161,37,2,4,2014-03-09,,0
Adam Roberts,4652,Male,51,13.2,Marketing Specialist,Marketing,61238,106570,Office-Based,Full-time,28,140,37,1,5,2011-10-31,,0
Holly Houston,1387,Male,27,3.8,Account Executive,Sales,74328,120680,Office-Based,Full-time,9,185,23,3,5,2020-10-09,2024-07-27,1
Roger Velez,4164,Male,46,8.3,Software Engineer,IT,97101,140323,Office-Based,Full-time,14,138,16,3,4,2016-09-26,,0
Katie Rogers,7528,Male,48,0.4,Account Executive,Sales,98886,107508,Office-Based,Full-time,10,152,4,0,1,2024-09-06,,0
Bradley Miles,6378,Female,53,11.4,Sales Manager,Sales,54213,92804,Office-Based,Full-time,31,176,37,4,3,2013-08-28,,0
Kenneth Wang,5564,Male,37,10.9,Account Executive,Sales,52113,61829,Remote,Full-time,19,138,21,2,5,2014-03-14,,0
Aaron Tran,2137,Female,43,7.2,Sales Manager,Sales,50573,94619,Remote,Full-time,11,196,1,4,5,2017-11-01,,0
Ashley Lewis,5573,Male,51,8.9,Director,IT,59614,80770,Office-Based,Full-time,10,128,26,1,5,2016-03-06,,0
Diane Keller,6753,Male,40,7.5,Marketing Specialist,Marketing,74540,101656,Office-Based,Full-time,19,198,37,3,3,2017-07-28,,0
William Sanchez,9346,Male,52,6.4,Director,IT,60741,77758,Office-Based,Part-time,20,165,2,5,5,2018-08-29,,0
Jeffrey Richard,7548,Female,55,1.1,Software Engineer,IT,55251,101688,Remote,Full-time,33,135,13,0,1,2023-12-26,,0
Terrance Pope,6425,Male,35,8.4,Marketing Specialist,Marketing,62914,99641,Office-Based,Full-time,15,145,37,1,5,2016-08-29,,0
Jonathan Hart,1452,Female,26,6.7,Account Executive,Sales,84946,106788,Office-Based,Full-time,8,198,4,1,5,2018-05-31,,0
Heidi Taylor,2889,Male,34,11.6,Director,IT,42330,84643,Remote,Full-time,15,178,37,4,5,2013-06-22,,0
Paul Willis,5279,Female,51,10.5,Marketing Specialist,Marketing,77024,124535,Office-Based,Full-time,12,122,37,5,4,2014-07-23,,0
Shawn Perez,3925,Female,44,2.2,Marketing Specialist,Marketing,64591,105650,Office-Based,Full-time,11,197,26,0,2,2010-12-23,2013-02-18,1
Rachel Harper,5349,Male,41,11.8,Marketing Specialist,Marketing,67123,72811,Office-Based,Full-time,23,177,37,1,5,2013-04-16,,0
Melissa Velasquez,1626,Female,35,12.7,Director,IT,42450,55694,Office-Based,Full-time,13,123,1,3,5,2012-05-02,,0
Kayla Holt,2776,Male,34,6.0,Director,IT,61452,70842,Office-Based,Full-time,15,186,8,3,5,2019-01-13,,0
Patricia Hines,8119,Male,35,5.3,Account Executive,Sales,40269,60649,Office-Based,Full-time,12,196,7,5,5,2019-10-14,,0
Ashley King,6663,Female,51,2.0,Account Executive,Sales,77850,127558,Office-Based,Full-time,19,161,16,1,4,2023-01-21,,0
Jeffrey Phillips,6139,Female,39,9.6,Marketing Specialist,Marketing,49785,60106,Remote,Full-time,17,199,37,1,5,2015-06-30,,0
Robert Newman,8149,Male,35,2.7,Engineering Manager,IT,92691,111255,Office-Based,Full-time,7,159,33,0,3,2022-04-30,,0
Janice Williamson,9379,Female,56,6.1,Engineering Manager,IT,43306,50248,Office-Based,Full-time,8,170,6,4,4,2018-12-14,,0
Stephanie Garcia,2894,Female,61,4.6,Account Executive,Sales,89528,120047,Office-Based,Full-time,17,179,6,5,3,2020-06-15,,0
Thomas Costa,7311,Female,65,11.3,Sales Manager,Sales,49418,89849,Remote,Full-time,42,143,25,2,5,2013-09-26,,0
Samuel Ross,4114,Female,42,13.7,Account Executive,Sales,63032,94400,Office-Based,Full-time,15,164,24,4,5,2011-05-20,,0
Theresa Collins,5173,Male,54,8.1,Marketing Specialist,Marketing,76447,119009,Remote,Full-time,34,179,37,1,4,2016-04-14,2024-05-05,1
Daniel Moreno,1727,Female,37,9.8,Marketing Manager,Marketing,44329,66658,Remote,Full-time,12,175,37,4,5,2015-04-08,,0
Rebecca Lopez,8144,Female,58,1.6,Engineering Manager,IT,83883,88987,Office-Based,Full-time,17,182,18,0,1,2023-07-06,,0
Wayne Powell,1027,Female,42,11.3,Marketing Manager,Marketing,44561,83768,Remote,Full-time,14,168,37,3,4,2013-09-30,,0
Timothy Kim,9518,Male,27,1.4,Engineering Manager,IT,49779,79465,Office-Based,Full-time,2,193,16,0,3,2017-02-11,2018-06-28,1
Andrew Mitchell,9821,Male,65,0.8,Marketing Manager,Marketing,87041,109602,Office-Based,Full-time,37,198,2,1,5,2024-03-22,,0
Lisa Yu,4228,Female,30,11.8,Account Executive,Sales,40055,86150,Office-Based,Part-time,12,134,27,5,5,2013-03-23,,0
Debra Hamilton,6967,Male,37,4.1,Engineering Manager,IT,65086,91695,Office-Based,Full-time,11,142,6,3,4,2020-12-13,,0
Carol Wright,8066,Male,57,10.7,Sales Manager,Sales,58905,102818,Remote,Full-time,37,122,6,4,3,2014-05-07,,0
